post_id,post_date,user_id,platform,content_type,category,followers,impressions,likes,comments,shares,engagement_rate,sentiment,year,month,month_name,year_month
100001,2024-01-10,3642,Facebook,Story,Food,34893,11566,357,47,132,4.63,Positive,2024,1,January,2024-01
100002,2023-08-09,4620,Instagram,Video,Education,62172,330922,7815,6658,1611,4.86,Neutral,2023,8,August,2023-08
100003,2024-05-23,5571,Instagram,Video,Technology,32279,82424,3570,305,1328,6.31,Neutral,2024,5,May,2024-05
100004,2023-01-14,1654,Instagram,Reel,Food,8367,51537,2404,528,116,5.91,Positive,2023,1,January,2023-01
100005,2024-04-01,3873,Instagram,Reel,Education,17446,116076,7853,392,596,7.62,Positive,2024,4,April,2024-04
100006,2023-12-05,5510,YouTube,Reel,Food,88545,809350,62488,9658,1579,9.11,Positive,2023,12,December,2023-12
100007,2022-12-01,1392,Instagram,Story,Education,10960,21932,505,143,83,3.33,Neutral,2022,12,December,2022-12
100008,2024-02-09,2470,Instagram,Reel,Food,17389,80965,2727,328,243,4.07,Negative,2024,2,February,2024-02
100009,2023-06-11,5803,Instagram,Video,Technology,16036,43667,1078,722,119,4.39,Positive,2023,6,June,2023-06
100010,2024-03-06,1811,Instagram,Image,Technology,22417,133902,1652,740,610,2.24,Positive,2024,3,March,2024-03
100011,2024-06-08,2712,Twitter,Video,Fashion,4351,12892,548,56,188,6.14,Positive,2024,6,June,2024-06
100012,2023-08-23,2708,Instagram,Video,Fashion,33297,123206,3199,503,27,3.03,Negative,2023,8,August,2023-08
100013,2024-03-03,2241,Facebook,Reel,Food,34500,108848,2345,2102,560,4.6,Positive,2024,3,March,2024-03
100014,2022-03-14,2406,Twitter,Image,Fashion,30848,49101,1218,224,54,3.05,Positive,2022,3,March,2022-03
100015,2022-09-24,5977,Facebook,Story,Food,30937,24933,515,76,85,2.71,Positive,2022,9,September,2022-09
100016,2022-08-29,4557,Instagram,Reel,Education,15975,74824,3850,28,610,6.0,Neutral,2022,8,August,2022-08
100017,2022-07-25,2947,Instagram,Video,Education,11410,4753,139,124,4,5.62,Negative,2022,7,July,2022-07
100018,2022-12-18,1830,Instagram,Reel,Education,26490,25567,1904,283,19,8.63,Neutral,2022,12,December,2022-12
100019,2022-07-26,4288,Instagram,Reel,Fashion,6192,50333,2586,930,19,7.02,Neutral,2022,7,July,2022-07
100020,2024-05-08,2238,Instagram,Story,Food,36418,371602,12273,1579,1059,4.01,Neutral,2024,5,May,2024-05
100021,2024-03-28,2352,Twitter,Image,Technology,5807,3907,189,1,13,5.2,Neutral,2024,3,March,2024-03
100022,2023-12-16,5054,Instagram,Video,Entertainment,19067,12633,783,16,18,6.47,Neutral,2023,12,December,2023-12
100023,2022-11-10,2561,Facebook,Reel,Food,4981,16849,733,158,28,5.45,Neutral,2022,11,November,2022-11
