booking_id,travel_date,customer_id,destination,traveler_type,trip_type,accommodation_type,transport_mode,stay_days,amount,rating,booking_status
100000,2024-03-06,5000,Rajasthan,Group,Adventure,Hotel,Car,8,67173.12,4.1,Completed
100001,2025-09-05,5001,Kerala,Group,Adventure,Homestay,Train,6,50767.95,3.6,Completed
100002,2025-09-19,5002,Tamil Nadu,Family,Leisure,Hostel,Car,9,47483.45,4.4,Completed
100003,2024-12-29,5003,Goa,Family,Cultural,Hostel,Flight,2,21286.79,4.7,Completed
100004,2024-12-04,5004,Rajasthan,Solo,Adventure,Hotel,Car,3,10059.0,3.7,Completed
100005,2024-11-14,5005,Rajasthan,Couple,Adventure,Hotel,Flight,9,71966.2,4.4,Completed
100006,2024-12-10,5006,Himachal Pradesh,Couple,Adventure,Hotel,Flight,8,61462.39,3.2,Completed
100007,2024-02-27,5007,Tamil Nadu,Family,Adventure,Hotel,Flight,8,59865.99,4.0,Completed
100008,2025-12-26,5008,Kerala,Solo,Leisure,Hotel,Bus,9,29885.57,4.4,Completed
100009,2024-10-26,5009,Himachal Pradesh,Solo,Leisure,Hotel,Bus,5,12217.99,4.1,Completed
100010,2025-11-16,5010,Himachal Pradesh,Couple,Leisure,Hotel,Bus,3,10515.54,3.4,Completed
100011,2024-09-04,5011,Karnataka,Family,Leisure,Hostel,Bus,10,45498.15,4.0,Completed
100012,2024-02-27,5012,Karnataka,Couple,Leisure,Hotel,Train,2,9686.11,4.1,Completed
100013,2024-12-26,5013,Rajasthan,Family,Adventure,Resort,Flight,8,67056.43,4.8,Completed
100014,2024-05-17,5014,Goa,Solo,Adventure,Hotel,Car,4,14986.39,4.4,Completed
100015,2024-08-03,5015,Karnataka,Couple,Cultural,Hotel,Train,2,9899.29,3.6,Completed
100016,2025-01-31,5016,Kerala,Couple,Adventure,Hotel,Flight,6,58529.75,4.0,Cancelled
100017,2024-08-08,5017,Goa,Family,Leisure,Resort,Bus,6,29349.57,3.8,Completed
100018,2025-12-13,5018,Goa,Family,Leisure,Homestay,Car,4,34634.94,4.3,Completed
100019,2025-03-30,5019,Kerala,Group,Leisure,Hotel,Train,6,55819.28,5.0,Pending
100020,2025-09-10,5020,Karnataka,Couple,Leisure,Homestay,Bus,10,30741.9,4.9,Completed
100021,2024-10-04,5021,Karnataka,Solo,Leisure,Homestay,Flight,4,18994.93,3.5,Completed
100022,2024-07-24,5022,Himachal Pradesh,Group,Adventure,Hotel,Flight,4,40812.4,4.5,Completed
100023,2025-12-09,5023,Rajasthan,Family,Adventure,Hotel,Car,3,22174.45,4.1,Completed
100024,2024-11-13,5024,Karnataka,Couple,Leisure,Resort,Bus,3,9827.31,3.7,Pending
100025,2024-12-30,5025,Tamil Nadu,Family,Leisure,Hotel,Train,2,10864.26,3.6,Pending
100026,2025-06-23,5026,Rajasthan,Family,Leisure,Hotel,Car,9,57094.26,4.0,Cancelled
100027,2025-07-13,5027,Karnataka,Family,Leisure,Hotel,Train,7,44881.74,3.3,Completed
100028,2025-01-23,5028,Kerala,Family,Cultural,Hotel,Flight,4,41148.48,5.0,Completed
100029,2024-08-20,5029,Goa,Group,Leisure,Hotel,Flight,4,41253.54,4.0,Completed
100030,2024-05-22,5030,Goa,Family,Adventure,Hotel,Flight,3,35849.8,3.7,Completed
100031,2025-01-27,5031,Goa,Solo,Leisure,Resort,Train,2,6869.28,4.2,Completed
100032,2025-10-15,5032,Himachal Pradesh,Solo,Business,Hotel,Car,2,8556.16,3.8,Pending
100033,2025-02-27,5033,Tamil Nadu,Family,Leisure,Resort,Train,9,46989.67,4.0,Cancelled
100034,2025-05-16,5034,Kerala,Solo,Adventure,Hotel,Flight,7,39837.79,3.9,Completed
100035,2024-11-13,5035,Himachal Pradesh,Couple,Business,Hostel,Train,5,25265.76,5.0,Completed
100036,2024-12-23,5036,Himachal Pradesh,Couple,Adventure,Hotel,Bus,7,29636.3,4.0,Completed
100037,2025-11-27,5037,Goa,Family,Leisure,Hostel,Flight,7,81977.59,4.9,Pending
100038,2024-11-21,5038,Himachal Pradesh,Group,Leisure,Resort,Flight,9,93050.22,4.7,Completed
100039,2024-01-06,5039,Rajasthan,Couple,Cultural,Homestay,Train,7,37551.58,4.4,Completed
100040,2025-07-28,5040,Goa,Family,Leisure,Homestay,Bus,3,18619.69,4.2,Completed
100041,2025-04-08,5041,Kerala,Couple,Leisure,Hotel,Car,4,23883.65,4.9,Completed
100042,2024-05-08,5042,Karnataka,Family,Adventure,Hotel,Car,6,43274.19,4.4,Completed
100043,2024-07-17,5043,Tamil Nadu,Solo,Adventure,Resort,Flight,9,41648.09,3.4,Completed
100044,2025-12-08,5044,Rajasthan,Couple,Business,Homestay,Flight,6,49200.35,3.8,Pending
100045,2025-07-22,5045,Goa,Group,Adventure,Resort,Flight,9,93075.76,3.7,Cancelled
100046,2024-11-27,5046,Himachal Pradesh,Solo,Business,Resort,Flight,3,13683.51,3.0,Completed
100047,2025-12-17,5047,Kerala,Group,Leisure,Homestay,Car,9,87316.09,4.8,Completed
100048,2024-11-22,5048,Kerala,Solo,Adventure,Homestay,Bus,2,5486.97,3.3,Cancelled
100049,2024-02-08,5049,Kerala,Family,Business,Resort,Flight,3,29785.97,4.0,Completed
100050,2024-12-01,5050,Goa,Solo,Leisure,Hostel,Train,8,29728.75,4.3,Cancelled
100051,2024-11-22,5051,Karnataka,Couple,Adventure,Resort,Bus,3,9392.58,4.0,Pending
100052,2025-05-20,5052,Rajasthan,Solo,Leisure,Hotel,Flight,5,25865.99,4.1,Completed
100053,2025-12-11,5053,Rajasthan,Solo,Adventure,Hotel,Flight,5,24838.24,4.7,Completed
100054,2024-03-10,5054,Tamil Nadu,Family,Adventure,Resort,Flight,7,58132.62,3.5,Cancelled
100055,2025-01-22,5055,Kerala,Couple,Cultural,Homestay,Car,7,43575.95,3.7,Completed
100056,2024-06-28,5056,Himachal Pradesh,Couple,Leisure,Hotel,Car,4,20552.04,4.3,Completed
100057,2024-12-22,5057,Kerala,Family,Leisure,Homestay,Car,3,21956.3,3.7,Completed
100058,2025-05-03,5058,Kerala,Group,Business,Homestay,Flight,3,41096.71,3.9,Completed
100059,2025-11-07,5059,Goa,Solo,Adventure,Hotel,Flight,7,44418.4,3.6,Cancelled
100060,2024-05-26,5060,Karnataka,Solo,Leisure,Hotel,Flight,9,40676.77,5.0,Completed
100061,2025-11-02,5061,Goa,Group,Leisure,Hotel,Flight,3,37067.49,2.8,Completed
100062,2024-01-11,5062,Kerala,Group,Adventure,Resort,Bus,2,11554.2,3.5,Completed
100063,2025-06-27,5063,Kerala,Group,Adventure,Homestay,Car,6,61695.85,3.7,Completed
100064,2024-03-28,5064,Kerala,Couple,Adventure,Hotel,Train,9,52612.01,3.7,Pending
100065,2024-01-07,5065,Goa,Solo,Business,Hotel,Flight,5,23578.09,4.2,Completed
100066,2024-05-04,5066,Tamil Nadu,Group,Adventure,Hotel,Bus,8,40396.52,3.5,Pending
100067,2025-03-31,5067,Karnataka,Solo,Cultural,Hotel,Train,9,30548.79,3.4,Completed
100068,2024-04-22,5068,Himachal Pradesh,Family,Leisure,Hotel,Flight,4,40793.55,4.5,Completed
100069,2025-09-20,5069,Karnataka,Couple,Cultural,Hotel,Train,6,29594.53,4.5,Cancelled
100070,2024-06-23,5070,Kerala,Solo,Leisure,Resort,Bus,2,6790.98,3.4,Completed
100071,2024-10-14,5071,Goa,Solo,Adventure,Homestay,Flight,9,52450.25,4.4,Completed
100072,2025-07-09,5072,Karnataka,Family,Leisure,Homestay,Flight,5,42056.69,3.0,Cancelled
100073,2024-11-24,5073,Kerala,Group,Leisure,Hotel,Flight,5,70469.28,5.0,Completed
100074,2025-04-11,5074,Rajasthan,Solo,Adventure,Hostel,Bus,4,10002.26,3.9,Completed
100075,2024-06-09,5075,Goa,Couple,Leisure,Hotel,Flight,6,50795.68,4.8,Completed
100076,2024-11-24,5076,Karnataka,Family,Adventure,Hotel,Car,5,30098.23,4.4,Completed
100077,2024-08-11,5077,Himachal Pradesh,Family,Adventure,Hotel,Flight,6,55035.3,5.0,Completed
100078,2024-02-14,5078,Himachal Pradesh,Family,Leisure,Hotel,Car,7,55616.98,3.8,Completed
100079,2024-07-14,5079,Goa,Family,Leisure,Resort,Car,9,67227.43,4.6,Completed
100080,2025-11-16,5080,Goa,Solo,Leisure,Hotel,Train,10,33692.62,4.0,Completed
100081,2025-09-14,5081,Rajasthan,Solo,Adventure,Hotel,Flight,3,14643.76,4.1,Completed
100082,2024-07-30,5082,Karnataka,Solo,Adventure,Resort,Flight,3,14998.2,3.5,Completed
100083,2025-01-22,5083,Kerala,Solo,Adventure,Resort,Flight,4,26776.97,3.5,Completed
100084,2024-12-27,5084,Himachal Pradesh,Solo,Leisure,Hotel,Car,6,20341.78,4.5,Completed
100085,2024-04-22,5085,Tamil Nadu,Solo,Adventure,Resort,Car,2,6618.37,5.0,Completed
100086,2024-11-30,5086,Himachal Pradesh,Group,Leisure,Hostel,Train,3,25427.77,4.7,Completed
100087,2025-06-20,5087,Kerala,Family,Adventure,Hotel,Train,9,58367.13,4.3,Completed
100088,2025-06-21,5088,Goa,Solo,Cultural,Homestay,Bus,5,15950.84,4.8,Completed
100089,2024-06-21,5089,Goa,Family,Leisure,Resort,Car,3,19552.4,5.0,Completed
100090,2025-02-26,5090,Goa,Group,Cultural,Resort,Bus,7,37644.66,3.4,Completed
100091,2024-04-06,5091,Tamil Nadu,Group,Leisure,Resort,Flight,4,33991.55,3.6,Cancelled
100092,2024-05-15,5092,Rajasthan,Family,Cultural,Resort,Bus,6,29367.13,4.2,Pending
100093,2025-11-20,5093,Himachal Pradesh,Couple,Leisure,Hotel,Car,2,11602.52,4.3,Completed
100094,2024-09-19,5094,Goa,Solo,Cultural,Hostel,Flight,10,59211.13,4.1,Completed
100095,2025-04-17,5095,Rajasthan,Family,Cultural,Homestay,Train,5,35149.37,3.7,Completed
